DRAW,DRAW_DATE,N1,N2,N3,N4,N5,N6,MULTIPLIER,ESTIMATED_JACKPOT,PRIMES,REPEATED,MEAN
1060,2020-04-04,8,31,39,40,43,4,3,1,2,0,32.2
1059,2020-04-01,33,35,45,48,60,16,2,1,0,1,44.2
1058,2020-03-28,7,40,48,55,66,11,2,1,1,0,43.2
1057,2020-03-25,5,9,27,39,42,16,2,1,1,0,24.4
1056,2020-03-21,2,23,40,59,69,13,2,1,3,1,38.6
1055,2020-03-18,15,27,44,59,63,8,4,1,1,0,41.6
1054,2020-03-14,9,23,26,30,32,8,3,1,1,0,24.0
1053,2020-03-11,4,29,49,50,67,2,4,1,2,0,39.8
1052,2020-03-07,7,15,21,33,62,23,2,1,1,0,27.6
1051,2020-03-04,18,43,58,60,68,14,2,1,1,0,49.4
1050,2020-02-29,24,44,46,50,51,13,3,1,0,0,43.0
1049,2020-02-26,8,27,29,36,47,24,3,1,2,0,29.4
1048,2020-02-22,25,37,39,61,62,11,3,1,2,0,44.8
1047,2020-02-19,10,12,15,19,56,19,2,1,1,0,22.4
1046,2020-02-15,16,32,35,36,46,3,3,1,0,0,33.0
1045,2020-02-12,14,47,54,55,68,25,2,1,1,0,47.6
1044,2020-02-08,35,49,50,59,66,6,2,1,1,1,51.8
1043,2020-02-05,23,30,35,41,57,2,3,1,2,1,37.2
1042,2020-02-01,12,33,54,57,60,13,4,1,0,2,43.2
1041,2020-01-29,9,12,15,31,60,2,2,1,1,1,25.4
1040,2020-01-25,2,9,17,36,67,18,2,1,3,1,26.2
1039,2020-01-22,11,33,44,59,67,8,3,1,3,0,42.8
1038,2020-01-18,20,24,38,56,68,18,2,1,0,1,41.2
1037,2020-01-15,39,41,53,55,68,19,2,1,2,0,51.2
1036,2020-01-11,3,21,23,31,59,3,2,1,4,0,27.4
1035,2020-01-08,2,4,7,43,56,22,4,1,3,0,22.4
1034,2020-01-04,1,11,21,25,54,7,2,1,1,0,22.4
1033,2020-01-01,49,53,57,59,62,26,2,1,2,1,56.0
1032,2019-12-28,20,23,39,59,60,18,2,1,2,0,40.2
1031,2019-12-25,2,4,16,30,46,20,2,1,1,0,19.6
1030,2019-12-21,19,31,35,50,67,14,2,1,3,0,40.4
1029,2019-12-18,14,18,26,39,68,9,2,1,0,0,33.0
1028,2019-12-14,3,6,12,32,64,19,3,1,1,0,23.4
1027,2019-12-11,24,29,42,44,63,10,4,1,1,1,40.4
1026,2019-12-07,18,42,53,62,66,25,3,1,1,0,48.2
1025,2019-12-04,8,27,44,51,61,14,3,1,1,0,38.2
1024,2019-11-30,15,35,42,63,68,18,4,1,0,1,44.6
1023,2019-11-27,15,26,37,53,55,21,2,1,2,0,37.2
1022,2019-11-23,28,35,38,61,66,23,3,1,1,0,45.6
1021,2019-11-20,7,15,39,40,57,12,2,1,1,0,31.6
1020,2019-11-16,14,22,26,55,63,26,3,1,0,1,36.0
1019,2019-11-13,23,26,27,28,66,11,2,1,1,0,34.0
1018,2019-11-09,14,17,35,38,60,25,2,1,1,0,32.8
1017,2019-11-06,15,28,46,62,64,17,3,1,0,0,43.0
1016,2019-11-02,3,23,32,37,58,22,2,1,3,0,30.6
1015,2019-10-30,19,22,52,56,67,21,2,1,2,0,43.2
1014,2019-10-26,3,20,48,54,59,4,4,1,2,0,36.8
1013,2019-10-23,5,12,50,61,69,23,2,1,2,0,39.4
1012,2019-10-19,14,27,29,59,65,12,2,1,2,0,38.8
1011,2019-10-16,1,5,25,63,67,3,2,1,2,0,32.2
1010,2019-10-12,12,29,34,53,65,23,2,1,2,1,38.6
1009,2019-10-09,5,18,33,43,65,2,2,1,2,0,32.8
1008,2019-10-05,6,14,36,51,54,4,2,1,0,0,32.2
1007,2019-10-02,4,8,10,43,53,7,2,1,2,0,23.6
1006,2019-09-28,15,23,34,51,55,4,2,1,1,0,35.6
1005,2019-09-25,37,43,44,45,53,25,3,1,3,0,44.4
1004,2019-09-21,1,9,22,36,68,22,2,1,0,0,27.2
1003,2019-09-18,14,19,39,47,51,15,3,1,2,0,34.0
1002,2019-09-14,11,27,31,36,67,11,2,1,3,0,34.4
1001,2019-09-11,6,17,24,53,57,3,3,1,2,0,31.4
1000,2019-09-07,11,20,41,42,56,6,2,1,2,0,34.0
999,2019-09-04,4,8,30,52,59,2,10,1,1,0,30.6
998,2019-08-31,14,41,50,56,57,18,5,1,1,2,43.6
997,2019-08-28,9,32,37,41,56,14,10,1,2,0,35.0
996,2019-08-24,5,12,20,21,47,1,2,1,2,2,21.0
