CONCURSO,R1,R2,R3,R4,R5,FECHA
47487,7,2,2,2,5,2008-03-09
47486,8,3,1,5,5,2008-03-10
47485,7,6,6,0,0,2008-03-10
47484,0,5,5,0,8,2008-03-11
47483,7,4,2,3,7,2008-03-11
47482,2,4,8,0,6,2008-03-12
47481,2,2,5,2,9,2008-03-12
47480,9,7,2,0,1,2008-03-13
47479,5,1,4,8,0,2008-03-13
47478,0,7,6,2,6,2008-03-14
47477,6,1,8,0,1,2008-03-14
47476,6,7,3,7,5,2008-03-15
47475,3,0,0,8,8,2008-03-15
47474,9,7,9,3,2,2008-03-16
47473,7,3,4,2,9,2008-03-16
47472,4,7,1,6,6,2008-03-17
47471,7,1,4,4,7,2008-03-17
47470,9,5,1,4,6,2008-03-18
47469,8,7,0,0,2,2008-03-18
47468,0,9,3,7,4,2008-03-19
47467,8,2,3,1,2,2008-03-19
47466,7,6,6,5,7,2008-03-20
47465,3,0,5,9,3,2008-03-20
47464,6,2,1,9,6,2008-03-21
47463,7,1,7,3,5,2008-03-21
47462,0,5,3,5,9,2008-03-22
47461,6,6,5,7,0,2008-03-22
47460,6,1,6,9,2,2008-03-23
47459,9,1,3,6,6,2008-03-23
47458,0,5,3,5,7,2008-03-24
47457,6,6,4,8,1,2008-03-24
47456,1,3,8,7,3,2008-03-25
47455,9,7,9,2,1,2008-03-25
47454,0,0,4,7,4,2008-03-26
47453,2,8,0,1,5,2008-03-26
47452,0,5,5,8,6,2008-03-27
47451,5,2,0,9,9,2008-03-27
47450,7,2,2,4,7,2008-03-28
47449,0,3,7,1,4,2008-03-28
47448,0,7,1,1,5,2008-03-29
47447,0,5,2,0,4,2008-03-29
47446,6,4,6,1,7,2008-03-30
47445,4,6,7,7,8,2008-03-30
47444,3,8,4,5,1,2008-03-31
47443,1,2,4,9,8,2008-03-31
47442,2,3,5,6,3,2008-04-01
47441,9,5,3,0,3,2008-04-01
47440,0,9,8,3,1,2008-04-02
47439,4,8,3,2,1,2008-04-02
47438,2,2,8,3,2,2008-04-03
47437,7,1,3,0,4,2008-04-03
47436,0,7,1,8,0,2008-04-04
47435,1,2,1,7,0,2008-04-04
47434,6,4,3,0,2,2008-04-05
47433,5,9,3,7,4,2008-04-05
47432,1,8,3,8,4,2008-04-06
47431,2,3,4,1,6,2008-04-06
47430,5,6,1,5,0,2008-04-07
47429,9,0,9,2,1,2008-04-07
47428,2,6,8,9,1,2008-04-08
47427,9,8,8,2,6,2008-04-08
47426,4,3,9,0,5,2008-04-09
47425,6,9,4,3,6,2008-04-09
47424,6,1,1,9,0,2008-04-10
47423,5,1,9,4,0,2008-04-10
47422,1,8,7,4,2,2008-04-11
47421,2,1,0,6,0,2008-04-11
47420,4,8,7,8,6,2008-04-12
47419,6,9,5,5,2,2008-04-12
47418,3,3,6,2,9,2008-04-13
47417,5,6,3,2,6,2008-04-13
47416,2,3,7,4,6,2008-04-14
47415,4,2,7,0,1,2008-04-14
47414,5,6,3,0,8,2008-04-15
47413,7,5,8,5,3,2008-04-15
47412,1,9,8,8,4,2008-04-16
47411,6,7,1,2,4,2008-04-16
47410,5,2,7,5,4,2008-04-17
47409,6,6,2,4,8,2008-04-17
47408,6,8,5,3,9,2008-04-18
47407,7,1,6,5,0,2008-04-18
47406,4,6,4,9,9,2008-04-19
47405,5,6,8,1,0,2008-04-19
47404,2,8,3,8,0,2008-04-20
47403,2,5,8,9,6,2008-04-20
47402,9,2,8,0,1,2008-04-21
47401,4,5,3,5,3,2008-04-21
47400,3,5,5,9,5,2008-04-22
47399,8,3,2,3,9,2008-04-22
47398,7,2,2,6,9,2008-04-23
47397,8,3,8,6,5,2008-04-23
47396,8,1,5,8,1,2008-04-24
47395,4,3,3,4,4,2008-04-24
47394,3,7,6,8,4,2008-04-25
47393,3,8,1,5,6,2008-04-25
47392,0,3,9,5,9,2008-04-26
47391,3,2,2,2,2,2008-04-26
47390,8,3,3,3,0,2008-04-27
47389,6,3,9,0,1,2008-04-27
47388,0,2,0,5,5,2008-04-28
47387,7,2,1,1,0,2008-04-28
47386,1,1,3,9,5,2008-04-29
47385,4,9,9,9,1,2008-04-29
47384,0,3,0,5,4,2008-04-30
47383,7,2,6,1,7,2008-04-30
47382,3,9,9,5,4,2008-05-01
47381,0,4,5,7,3,2008-05-01
47380,8,7,8,1,3,2008-05-02
47379,6,2,9,9,9,2008-05-02
47378,6,5,1,2,5,2008-05-03
47377,2,1,9,9,1,2008-05-03
47376,3,7,9,5,6,2008-05-04
47375,9,0,4,6,5,2008-05-04
47374,1,0,8,7,2,2008-05-05
47373,8,9,8,8,6,2008-05-05
47372,5,8,1,7,0,2008-05-06
47371,9,7,2,3,6,2008-05-06
47370,5,1,7,9,8,2008-05-07
47369,9,1,0,3,0,2008-05-07
47368,0,9,0,5,9,2008-05-08
47367,2,1,3,6,2,2008-05-08
47366,4,2,0,1,6,2008-05-09
47365,8,6,9,0,1,2008-05-09
47364,8,7,7,3,0,2008-05-10
47363,2,4,9,8,4,2008-05-10
47362,0,5,8,4,3,2008-05-11
47361,5,5,6,2,4,2008-05-11
47360,9,8,1,2,5,2008-05-12
47359,1,7,0,6,0,2008-05-12
47358,0,1,2,3,0,2008-05-13
47357,2,2,1,2,7,2008-05-13
47356,0,9,0,4,3,2008-05-14
47355,2,4,4,7,7,2008-05-14
47354,6,2,8,2,1,2008-05-15
47353,8,1,9,0,1,2008-05-15
47352,1,4,2,3,7,2008-05-16
47351,5,2,6,8,2,2008-05-16
47350,5,4,0,8,8,2008-05-17
47349,4,4,9,8,1,2008-05-17
47348,9,3,5,8,5,2008-05-18
47347,0,2,7,2,9,2008-05-18
47346,2,9,0,7,6,2008-05-19
47345,0,2,7,4,6,2008-05-19
47344,3,0,9,6,5,2008-05-20
47343,0,4,6,7,1,2008-05-20
47342,3,6,2,2,1,2008-05-21
47341,5,3,3,1,7,2008-05-21
47340,8,2,6,7,4,2008-05-22
47339,2,4,2,3,2,2008-05-22
47338,6,5,2,3,8,2008-05-23
47337,0,0,0,8,4,2008-05-23
47336,7,2,6,5,2,2008-05-24
47335,1,6,8,6,1,2008-05-24
47334,0,0,7,6,0,2008-05-25
47333,6,7,9,9,4,2008-05-25
47332,1,4,0,9,1,2008-05-26
47331,6,6,4,1,4,2008-05-26
47330,3,4,6,8,1,2008-05-27
47329,6,5,4,3,5,2008-05-27
47328,1,3,4,9,2,2008-05-28
47327,0,8,7,2,7,2008-05-28
47326,9,3,7,4,1,2008-05-29
47325,3,0,0,5,9,2008-05-29
47324,8,2,0,1,1,2008-05-30
47323,0,7,7,1,1,2008-05-30
47322,4,8,1,2,3,2008-05-31
47321,3,2,6,7,8,2008-05-31
47320,5,5,0,5,5,2008-06-01
47319,8,2,7,8,7,2008-06-01
47318,6,8,4,3,0,2008-06-02
47317,0,4,9,0,1,2008-06-02
47316,3,9,8,9,6,2008-06-03
47315,8,1,0,8,9,2008-06-03
47314,6,7,0,6,7,2008-06-04
47313,2,3,7,0,1,2008-06-04
47312,8,6,2,6,3,2008-06-05
47311,5,4,2,6,5,2008-06-05
