CONCURSO,F1,F2,F3,F4,F5,F6,F7,FECHA,PRIMOS,REPETIDOS,MEDIA
1211,8,11,13,17,30,32,16,2022-04-26,3,1,18.5
1210,4,14,21,23,27,32,26,2022-04-23,1,0,20.2
1209,6,8,22,26,34,38,24,2022-04-19,0,1,22.3
1208,4,6,21,24,28,31,20,2022-04-16,1,1,19
1207,5,6,19,20,35,38,7,2022-04-12,2,0,20.5
1206,8,14,18,27,30,33,37,2022-04-09,0,1,21.7
1205,10,11,18,22,23,28,14,2022-04-05,2,0,18.7
1204,2,5,15,24,32,37,19,2022-04-02,3,0,19.2
1203,6,11,26,27,33,36,2,2022-03-29,1,0,23.2
1202,1,5,8,10,12,31,3,2022-03-26,2,1,11.2
1201,4,9,10,23,25,32,12,2022-03-22,1,2,17.2
1200,1,4,7,15,22,32,13,2022-03-19,1,0,13.5
1199,6,10,24,28,33,36,32,2022-03-15,0,1,22.8
1198,10,15,17,26,35,37,27,2022-03-12,2,1,23.3
1197,1,12,13,20,33,35,28,2022-03-08,1,0,19
1196,2,3,7,10,18,24,26,2022-03-05,3,1,10.7
1195,13,15,18,21,25,35,32,2022-03-01,1,1,21.2
1194,2,10,14,16,21,27,37,2022-02-26,1,0,15
1193,3,4,7,22,24,39,26,2022-02-22,2,0,16.5
1192,2,12,16,17,18,30,19,2022-02-19,2,2,15.8
1191,6,12,18,22,27,35,29,2022-02-15,0,0,20
1190,9,10,11,28,31,39,34,2022-02-12,2,0,21.3
1189,6,18,26,27,29,37,7,2022-02-08,2,0,23.8
1188,2,3,10,12,15,39,22,2022-02-05,2,0,13.5
1187,9,16,26,28,33,35,20,2022-02-01,0,0,24.5
1186,2,3,12,19,22,36,7,2022-01-29,3,0,15.7
1185,1,4,8,24,31,38,2,2022-01-25,1,0,17.7
1184,2,3,6,12,16,23,30,2022-01-22,3,1,10.3
1183,1,4,16,19,27,37,8,2022-01-18,2,0,17.3
1182,2,14,22,24,32,33,17,2022-01-15,1,0,21.2
1181,1,5,19,26,31,34,39,2022-01-11,3,2,19.3
1180,3,10,13,19,29,31,30,2022-01-08,5,1,17.5
1179,2,3,11,30,32,34,19,2022-01-04,3,3,18.7
1178,3,11,12,14,28,32,9,2022-01-01,2,1,16.7
1177,11,16,23,24,26,37,29,2021-12-28,3,0,22.8
1176,5,6,22,34,35,38,11,2021-12-25,1,0,23.3
1175,12,14,15,30,33,37,13,2021-12-21,1,0,23.5
1174,2,5,17,18,19,38,31,2021-12-18,4,2,16.5
1173,2,5,8,21,26,37,28,2021-12-14,3,0,16.5
1172,4,7,13,18,25,36,26,2021-12-11,2,1,17.2
1171,6,9,13,24,26,35,1,2021-12-07,1,1,18.8
1170,8,11,13,16,25,31,33,2021-12-04,3,0,17.3
1169,6,17,23,32,37,39,5,2021-11-30,3,1,25.7
1168,13,18,25,29,32,38,10,2021-11-27,2,1,25.8
1167,1,5,7,10,28,29,18,2021-11-23,3,0,13.3
1166,3,13,15,17,18,21,6,2021-11-20,3,2,14.5
1165,6,9,18,21,29,31,5,2021-11-16,2,1,19
1164,1,7,15,30,31,34,14,2021-11-13,2,0,19.7
1163,9,18,22,23,36,37,38,2021-11-09,2,0,24.2
1162,2,12,17,28,34,39,26,2021-11-06,2,1,22
1161,2,9,23,32,33,35,4,2021-11-02,2,0,22.3
1160,4,15,17,19,22,37,23,2021-10-30,3,0,19
1159,13,21,23,29,30,35,19,2021-10-26,3,0,25.2
1158,1,3,25,27,37,39,12,2021-10-23,2,1,22
1157,15,23,26,31,35,37,25,2021-10-19,3,0,27.8
1156,3,5,14,20,22,39,1,2021-10-16,2,1,17.2
1155,13,17,21,22,28,33,26,2021-10-12,2,2,22.3
1154,12,13,16,26,30,33,25,2021-10-09,1,2,21.7
1153,1,5,13,21,30,35,27,2021-10-05,2,2,17.5
1152,6,10,12,13,20,35,9,2021-10-02,1,1,16
1151,3,4,12,19,23,37,18,2021-09-28,4,0,16.3
1150,7,14,21,24,34,36,25,2021-09-25,1,0,22.7
1149,13,17,25,28,38,39,23,2021-09-21,2,0,26.7
1148,1,8,21,22,34,37,31,2021-09-18,1,0,20.5
1147,11,18,25,27,31,39,36,2021-09-14,2,0,25.2
1146,1,4,7,10,28,29,16,2021-09-11,2,1,13.2
1145,10,11,26,35,38,39,5,2021-09-07,1,1,26.5
1144,2,4,14,26,30,37,23,2021-09-04,2,2,18.8
1143,2,7,21,31,37,39,4,2021-08-31,4,1,22.8
1142,1,6,10,24,28,31,36,2021-08-28,1,2,16.7
1141,1,3,9,21,24,33,30,2021-08-24,1,2,15.2
1140,1,3,14,18,31,34,5,2021-08-21,2,1,16.8
1139,10,28,29,30,31,39,1,2021-08-17,2,1,27.8
1138,4,11,14,21,27,30,24,2021-08-14,1,1,17.8
1137,1,3,21,23,35,37,10,2021-08-10,3,1,20
1136,14,17,25,32,37,39,15,2021-08-07,2,0,27.3
1135,1,3,9,22,24,27,29,2021-08-03,1,0,14.3
1134,5,6,8,26,29,39,15,2021-07-31,2,0,18.8
1133,2,4,15,22,31,38,24,2021-07-27,2,2,18.7
1132,3,27,31,32,34,38,20,2021-07-24,2,1,27.5
1131,2,3,4,6,16,37,12,2021-07-20,3,2,11.3
1130,2,18,26,28,32,37,24,2021-07-17,2,2,23.8
1129,2,9,20,21,27,37,17,2021-07-13,2,1,19.3
1128,4,12,20,35,36,38,8,2021-07-10,0,1,24.2
1127,4,7,17,23,29,37,36,2021-07-06,5,1,19.5
1126,1,3,24,29,33,38,36,2021-07-03,2,1,21.3
1125,8,14,17,29,31,34,37,2021-06-29,3,0,22.2
1124,2,7,20,24,32,33,3,2021-06-26,2,0,19.7
1123,12,17,31,36,37,39,25,2021-06-22,3,2,28.7
1122,9,17,20,30,31,38,26,2021-06-19,2,2,24.2
1121,3,20,25,28,34,38,35,2021-06-15,1,2,24.7
1120,3,11,15,24,29,38,28,2021-06-12,3,2,20
1119,3,10,14,19,29,36,35,2021-06-08,3,2,18.5
1118,10,12,13,14,30,39,23,2021-06-05,1,1,19.7
1117,6,14,15,19,25,31,11,2021-06-01,2,1,18.3
1116,1,11,18,23,31,39,17,2021-05-29,3,1,20.5
1115,7,10,17,20,29,31,8,2021-05-25,4,3,19
1114,3,10,17,25,29,37,6,2021-05-22,4,0,20.2
1113,9,20,28,34,38,39,1,2021-05-18,0,1,28
1112,11,18,26,35,36,39,23,2021-05-15,1,2,27.5
1111,12,18,21,33,35,37,39,2021-05-11,1,0,26
1110,6,11,25,27,31,38,13,2021-05-08,2,1,23
1109,6,15,26,32,35,39,11,2021-05-04,0,1,25.5
1108,23,28,29,30,32,38,33,2021-05-01,2,0,30
1107,5,7,8,12,27,31,14,2021-04-27,3,0,15
1106,14,17,25,29,36,38,33,2021-04-24,2,1,26.5
1105,1,8,10,17,22,28,16,2021-04-20,1,0,14.3
1104,11,27,29,34,35,37,3,2021-04-17,3,1,28.8
1103,13,22,25,28,35,36,33,2021-04-13,1,0,26.5
1102,6,7,10,12,17,18,3,2021-04-10,2,1,11.7
1101,3,6,9,28,29,30,15,2021-04-06,2,3,17.5
1100,3,25,28,30,33,36,24,2021-04-03,1,0,25.8
1099,5,7,9,13,19,31,17,2021-03-30,5,0,14
1098,8,11,18,23,24,30,20,2021-03-27,2,1,19
1097,1,9,10,13,24,34,39,2021-03-23,1,0,15.2
1096,3,6,7,22,30,35,14,2021-03-20,2,1,17.2
1095,6,8,9,12,33,38,30,2021-03-16,0,1,17.7
1094,9,10,22,25,31,36,35,2021-03-13,1,1,22.2
1093,7,8,12,31,32,39,13,2021-03-09,2,2,21.5
1092,5,12,16,27,34,39,36,2021-03-06,1,1,22.2
1091,4,8,15,23,27,30,36,2021-03-02,1,0,17.8
1090,18,20,32,33,34,37,7,2021-02-27,1,0,29
1089,8,11,15,27,29,38,28,2021-02-23,2,1,21.3
1088,5,7,16,25,27,31,10,2021-02-20,3,1,18.5
1087,11,12,23,25,29,30,27,2021-02-16,3,0,21.7
1086,15,20,21,28,37,39,36,2021-02-13,1,1,26.7
1085,9,17,21,25,31,38,19,2021-02-09,2,0,23.5
1084,2,8,16,19,37,39,36,2021-02-06,3,1,20.2
1083,3,4,15,16,28,35,5,2021-02-02,1,0,16.8
1082,6,10,12,20,27,31,36,2021-01-30,1,1,17.7
1081,8,24,29,31,32,33,27,2021-01-26,2,1,26.2
1080,16,18,24,34,35,36,21,2021-01-23,0,2,27.2
1079,3,10,27,32,35,36,16,2021-01-19,1,0,23.8
1078,6,15,22,23,30,38,19,2021-01-16,1,0,22.3
1077,11,17,19,20,27,29,24,2021-01-12,4,2,20.5
1076,10,20,27,31,34,35,7,2021-01-09,1,1,26.2
1075,7,13,21,23,24,31,22,2021-01-05,4,0,19.8
1074,3,10,20,26,32,37,36,2021-01-02,2,1,21.3
1073,10,11,27,29,31,36,23,2020-12-29,3,0,24
1072,1,4,16,17,19,38,36,2020-12-26,2,2,15.8
1071,4,16,20,28,33,35,37,2020-12-22,0,1,22.7
1070,7,9,23,30,33,38,3,2020-12-19,2,0,23.3
1069,13,14,21,28,36,39,23,2020-12-15,1,0,25.2
1068,6,11,23,31,32,35,24,2020-12-12,3,0,23
1067,15,19,27,34,38,39,3,2020-12-08,1,0,28.7
1066,1,3,12,23,29,30,14,2020-12-05,3,1,16.3
1065,5,6,17,20,30,37,15,2020-12-01,3,0,19.2
1064,3,8,10,11,25,39,38,2020-11-28,2,1,16
1063,1,3,4,20,22,33,23,2020-11-24,1,2,13.8
1062,3,4,6,8,30,31,22,2020-11-21,2,2,13.7
1061,3,13,17,31,33,38,24,2020-11-17,4,2,22.5
1060,4,10,17,30,31,39,8,2020-11-14,2,1,21.8
1059,4,8,16,19,25,27,3,2020-11-10,1,1,16.5
1058,6,7,17,19,21,31,16,2020-11-07,4,2,16.8
1057,2,10,15,21,28,31,5,2020-11-03,2,0,17.8
1056,7,8,11,27,34,39,32,2020-10-31,2,0,21
1055,2,6,24,33,35,36,37,2020-10-27,1,2,22.7
1054,6,9,22,25,32,36,19,2020-10-24,0,1,21.7
1053,2,5,9,13,19,31,35,2020-10-20,5,0,13.2
1052,3,4,21,22,24,37,16,2020-10-17,2,1,18.5
1051,12,19,23,27,34,37,20,2020-10-13,3,1,25.3
1050,4,7,8,15,20,23,25,2020-10-10,2,1,12.8
1049,4,9,18,29,30,38,21,2020-10-06,1,1,21.3
1048,1,13,19,35,36,38,21,2020-10-03,2,2,23.7
1047,1,13,15,17,25,37,7,2020-09-29,3,0,18
1046,2,6,7,12,18,29,25,2020-09-26,3,2,12.3
1045,4,8,12,13,14,29,26,2020-09-22,2,1,13.3
1044,18,19,28,29,32,37,25,2020-09-19,3,1,27.2
1043,4,11,13,17,28,38,25,2020-09-15,3,1,18.5
1042,3,17,20,25,35,39,8,2020-09-12,2,0,23.2
1041,10,12,23,27,33,36,26,2020-09-08,1,0,26
1040,16,21,26,28,31,34,11,2020-09-05,1,0,26
1039,8,12,15,20,23,35,1,2020-09-01,1,0,18.8
1038,1,10,18,19,27,34,36,2020-08-29,1,1,18.2
1037,2,6,11,27,32,37,17,2020-08-25,3,1,19.2
1036,3,4,31,32,34,36,13,2020-08-22,2,1,23.3
1035,4,8,16,22,27,33,18,2020-08-18,0,1,18.3
1034,6,10,11,17,20,33,15,2020-08-15,2,1,16.2
1033,3,13,18,20,26,32,22,2020-08-11,2,1,18.7
1032,11,20,22,25,31,38,4,2020-08-08,2,1,24.5
1031,2,7,8,11,27,30,24,2020-08-04,3,1,14.2
1030,12,13,20,25,26,27,24,2020-08-01,1,1,20.5
1029,1,2,3,5,13,16,6,2020-07-28,4,0,6.7
1028,10,19,20,21,24,25,39,2020-07-25,1,3,19.8
1027,1,4,9,21,24,25,34,2020-03-31,0,1,14
1026,5,14,22,25,35,39,27,2020-03-28,1,2,23.3
1025,12,13,20,25,26,35,38,2020-03-24,1,1,21.8
1024,3,18,19,22,26,32,5,2020-03-21,2,0,20
1023,4,7,11,23,25,33,20,2020-03-17,3,0,17.2
1022,9,18,32,37,38,39,13,2020-03-14,1,2,28.8
1021,9,21,30,32,34,35,14,2020-03-10,0,1,26.8
1020,4,7,23,31,33,35,29,2020-03-07,3,0,22.2
1019,11,14,17,18,24,29,15,2020-03-03,3,1,18.8
1018,7,16,18,22,25,26,19,2020-02-29,1,0,19
1017,1,6,9,13,15,19,35,2020-02-25,2,0,10.5
1016,4,5,16,29,31,32,6,2020-02-22,3,0,19.5
1015,7,13,21,25,30,33,24,2020-02-18,2,0,21.5
1014,3,15,20,22,26,29,33,2020-02-15,2,0,19.2
1013,1,9,14,27,30,37,26,2020-02-11,1,0,19.7
1012,2,5,7,10,21,39,29,2020-02-08,3,1,14
1011,10,12,16,23,26,30,32,2020-02-04,1,2,19.5
