NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,FECHA,PRIMOS
60,26106,2,7,2,6,4,2020-12-08,3
60,26105,2,1,1,3,5,2020-12-08,3
60,26104,2,4,6,4,2,2020-12-08,2
60,26103,0,0,3,5,2,2020-12-08,3
60,26102,6,9,4,7,3,2020-12-07,2
60,26101,6,7,5,8,1,2020-12-07,2
60,26100,2,0,4,4,2,2020-12-07,2
60,26099,5,4,3,0,7,2020-12-07,3
60,26098,1,5,7,2,9,2020-12-07,3
60,26097,3,0,4,1,2,2020-12-06,2
60,26096,8,0,7,9,5,2020-12-06,2
60,26095,5,3,3,7,2,2020-12-06,5
60,26094,4,7,8,6,2,2020-12-06,2
60,26093,8,9,0,5,8,2020-12-06,1
60,26092,3,9,3,6,3,2020-12-05,3
60,26091,7,2,3,7,2,2020-12-05,5
60,26090,0,9,4,8,2,2020-12-05,1
60,26089,5,6,6,5,9,2020-12-05,2
60,26088,0,9,5,5,4,2020-12-05,2
60,26087,8,3,3,6,8,2020-12-04,2
60,26086,5,4,8,9,7,2020-12-04,2
60,26085,6,0,3,2,4,2020-12-04,2
60,26084,7,5,4,4,7,2020-12-04,3
60,26083,5,5,3,5,7,2020-12-04,5
60,26082,3,9,1,0,7,2020-12-03,2
60,26081,0,0,8,5,6,2020-12-03,1
60,26080,0,7,1,0,0,2020-12-03,1
60,26079,5,3,2,6,7,2020-12-03,4
60,26078,3,6,4,0,1,2020-12-03,1
60,26077,9,0,7,1,9,2020-12-02,1
60,26076,6,7,1,2,3,2020-12-02,3
60,26075,3,4,1,8,9,2020-12-02,1
60,26074,8,3,5,8,8,2020-12-02,2
60,26073,8,2,1,7,3,2020-12-02,3
60,26072,5,1,8,2,4,2020-12-01,2
60,26071,8,1,4,8,0,2020-12-01,0
60,26070,0,5,7,7,5,2020-12-01,4
60,26069,7,2,6,5,7,2020-12-01,4
60,26068,7,9,8,1,5,2020-12-01,2
60,26067,6,9,8,2,9,2020-11-30,1
60,26066,3,7,0,7,4,2020-11-30,3
60,26065,8,0,1,0,3,2020-11-30,1
60,26064,8,3,4,3,0,2020-11-30,2
60,26063,3,8,9,8,0,2020-11-30,1
60,26062,6,5,3,8,7,2020-11-29,3
60,26061,7,9,0,3,2,2020-11-29,3
60,26060,7,4,5,0,4,2020-11-29,2
60,26059,2,4,3,8,7,2020-11-29,3
60,26058,2,5,3,3,4,2020-11-29,4
60,26057,9,5,2,3,3,2020-11-28,4
60,26056,0,2,6,3,4,2020-11-28,2
60,26055,4,8,3,3,5,2020-11-28,3
60,26054,9,7,7,4,5,2020-11-28,3
60,26053,2,1,9,2,6,2020-11-28,2
60,26052,1,0,7,5,7,2020-11-27,3
60,26051,4,7,9,2,8,2020-11-27,2
60,26050,0,5,5,7,3,2020-11-27,4
60,26049,9,9,8,2,3,2020-11-27,2
60,26048,3,5,0,6,5,2020-11-27,3
60,26047,6,1,0,7,6,2020-11-26,1
60,26046,9,0,5,9,2,2020-11-26,2
60,26045,2,0,9,9,9,2020-11-26,1
60,26044,1,7,2,0,8,2020-11-26,2
60,26043,8,6,4,4,1,2020-11-26,0
60,26042,8,2,4,3,8,2020-11-25,2
60,26041,7,7,1,4,6,2020-11-25,2
60,26040,0,1,0,9,3,2020-11-25,1
60,26039,4,1,2,2,2,2020-11-25,3
60,26038,5,5,8,3,9,2020-11-25,3
60,26037,8,0,8,8,6,2020-11-24,0
60,26036,3,6,8,1,4,2020-11-24,1
60,26035,4,7,9,6,4,2020-11-24,1
60,26034,8,6,6,5,6,2020-11-24,1
60,26033,4,1,9,5,7,2020-11-24,2
60,26032,4,6,4,9,7,2020-11-23,1
60,26031,1,1,7,3,5,2020-11-23,3
60,26030,5,2,9,7,3,2020-11-23,4
60,26029,7,3,6,1,4,2020-11-23,2
60,26028,3,9,1,3,9,2020-11-23,2
60,26027,3,4,8,5,4,2020-11-22,2
60,26026,7,5,1,4,0,2020-11-22,2
60,26025,3,3,3,2,8,2020-11-22,4
60,26024,2,0,3,3,0,2020-11-22,3
60,26023,6,2,7,2,1,2020-11-22,3
60,26022,0,7,8,9,1,2020-11-21,1
60,26021,9,1,9,0,7,2020-11-21,1
60,26020,5,7,0,5,4,2020-11-21,3
60,26019,4,7,5,4,0,2020-11-21,2
60,26018,5,8,8,0,3,2020-11-21,2
60,26017,9,2,7,8,1,2020-11-20,2
60,26016,9,8,1,5,5,2020-11-20,2
60,26015,4,5,7,8,5,2020-11-20,3
60,26014,3,6,3,8,2,2020-11-20,3
60,26013,7,3,8,8,1,2020-11-20,2
60,26012,7,8,1,3,1,2020-11-19,2
60,26011,3,8,9,3,9,2020-11-19,2
60,26010,7,3,8,7,5,2020-11-19,4
60,26009,5,9,9,0,0,2020-11-19,1
60,26008,3,3,3,6,8,2020-11-19,3
60,26007,2,8,2,8,1,2020-11-18,2
60,26006,5,3,7,3,6,2020-11-18,4
60,26005,8,9,0,3,6,2020-11-18,1
60,26004,5,5,9,8,7,2020-11-18,3
60,26003,6,8,3,2,1,2020-11-18,2
60,26002,7,3,3,7,0,2020-11-17,4
60,26001,4,3,0,2,4,2020-11-17,2
60,26000,0,4,2,8,1,2020-11-17,1
60,25999,0,2,0,2,2,2020-11-17,3
60,25998,2,5,4,3,5,2020-11-17,4
60,25997,0,1,5,4,1,2020-11-16,1
60,25996,3,9,0,8,8,2020-11-16,1
60,25995,6,7,9,7,7,2020-11-16,3
60,25994,6,6,5,5,6,2020-11-16,2
60,25993,5,9,0,9,2,2020-11-16,2
60,25992,8,8,7,5,6,2020-11-15,2
60,25991,3,0,2,2,7,2020-11-15,4
60,25990,9,2,6,8,0,2020-11-15,1
60,25989,9,0,1,2,4,2020-11-15,1
60,25988,7,9,2,6,5,2020-11-15,3
60,25987,2,6,7,4,9,2020-11-14,2
60,25986,3,7,7,9,4,2020-11-14,3
60,25985,6,0,0,4,4,2020-11-14,0
60,25984,2,5,3,0,3,2020-11-14,4
60,25983,3,5,2,6,8,2020-11-14,3
60,25982,1,9,5,6,4,2020-11-13,1
60,25981,5,0,4,0,1,2020-11-13,1
60,25980,8,3,9,5,3,2020-11-13,3
60,25979,0,0,9,3,8,2020-11-13,1
60,25978,0,8,1,8,2,2020-11-13,1
60,25977,3,4,0,3,7,2020-11-12,3
60,25976,9,3,8,7,7,2020-11-12,3
60,25975,4,3,2,5,6,2020-11-12,3
