CONCURSO,ID,F1,F2,F3,F4,F5,F6,F7,FECHA
934,2361430,8,9,11,16,21,32,31,2019-05-11
933,679740,2,6,11,26,37,38,21,2019-05-07
932,2899992,12,13,26,29,35,39,15,2019-05-04
931,2593037,9,13,16,19,30,39,12,2019-04-30
930,728444,2,7,17,22,32,36,27,2019-04-27
929,2700700,10,12,18,28,32,37,19,2019-04-23
928,2587207,9,12,26,28,31,36,20,2019-04-20
927,1503191,4,10,13,14,16,25,6,2019-04-16
926,1520582,4,10,30,37,38,39,35,2019-04-13
925,560497,2,3,28,33,38,39,5,2019-04-09
924,1327704,4,5,8,15,34,35,32,2019-04-06
923,353930,1,9,19,23,25,29,30,2019-04-02
922,2818165,11,13,23,30,31,33,37,2019-03-30
921,8047,1,2,4,6,20,28,18,2019-03-26
920,700822,2,7,8,9,24,28,22,2019-03-23
919,2597985,9,13,19,27,33,36,7,2019-03-19
918,627747,2,5,8,25,35,38,39,2019-03-16
917,1384717,4,6,13,14,21,32,22,2019-03-12
916,239502,1,6,10,18,32,37,27,2019-03-09
915,2626810,9,16,17,20,24,39,13,2019-03-05
914,2163666,7,8,11,14,26,38,18,2019-03-02
913,1640265,5,6,7,9,25,32,27,2019-02-26
912,2174007,7,8,15,16,24,28,18,2019-02-23
911,1985179,6,9,10,11,13,21,15,2019-02-19
910,2772545,10,20,21,25,35,39,3,2019-02-16
909,1658874,5,6,11,20,28,29,17,2019-02-12
908,841060,2,12,13,20,23,29,10,2019-02-09
907,2375452,8,9,17,20,25,30,37,2019-02-05
906,2161449,7,8,10,19,20,30,29,2019-02-02
905,920301,2,19,23,28,29,35,12,2019-01-29
904,639632,2,5,12,14,25,29,30,2019-01-26
903,2531660,9,10,12,21,27,38,26,2019-01-22
902,1317830,4,5,6,14,21,35,32,2019-01-19
901,2553189,9,11,13,14,23,30,6,2019-01-15
900,3166427,17,18,25,27,34,36,1,2019-01-12
899,2504276,8,18,24,26,27,39,35,2019-01-08
898,3148321,16,20,24,26,27,29,1,2019-01-05
897,1315485,4,5,6,8,14,32,38,2019-01-01
896,2753477,10,16,28,29,32,33,36,2018-12-29
895,1982268,6,8,22,24,30,34,5,2018-12-25
894,562055,2,4,5,8,15,34,13,2018-12-22
893,494482,1,22,25,27,29,33,23,2018-12-18
892,1593241,4,15,21,23,25,32,26,2018-12-15
891,764147,2,8,21,22,30,34,9,2018-12-11
890,770355,2,9,10,19,26,30,14,2018-12-08
889,1994618,6,9,12,25,33,37,26,2018-12-04
888,2337702,7,19,21,28,38,39,6,2018-12-01
887,2478950,8,15,19,32,35,37,17,2018-11-27
886,2704879,10,12,23,28,35,36,19,2018-11-24
885,317146,1,8,14,15,18,38,31,2018-11-20
884,113527,1,3,15,22,24,27,16,2018-11-17
883,1237927,3,13,15,24,30,32,16,2018-11-13
882,338196,1,9,11,22,26,32,6,2018-11-10
881,3090562,15,16,21,22,27,29,19,2018-11-06
880,1901198,5,19,25,34,35,39,31,2018-11-03
879,3119239,15,21,29,34,38,39,32,2018-10-30
878,2823773,11,14,16,29,36,37,25,2018-10-27
877,2978860,13,14,28,31,33,37,6,2018-10-23
876,3204161,18,24,25,28,31,38,9,2018-10-20
875,2487920,8,16,20,21,26,36,6,2018-10-16
874,3114886,15,20,24,29,31,39,4,2018-10-13
873,2597914,9,13,19,26,32,37,6,2018-10-09
872,314587,1,8,13,14,19,35,38,2018-10-06
871,1087935,3,7,10,17,18,20,8,2018-10-02
870,2732768,10,14,24,26,29,30,32,2018-09-29
869,2281465,7,13,16,26,29,39,14,2018-09-25
868,1997613,6,9,14,15,16,30,7,2018-09-22
867,233764,1,6,9,11,21,31,5,2018-09-18
866,1244049,3,13,19,29,30,38,18,2018-09-15
865,2015819,6,10,11,35,37,38,14,2018-09-11
864,953843,3,4,7,25,31,35,11,2018-09-08
863,1584923,4,14,24,32,34,39,10,2018-09-04
862,870793,2,13,25,27,29,39,15,2018-09-01
861,571397,2,4,6,21,27,31,25,2018-08-28
860,282619,1,7,12,25,31,34,13,2018-08-25
859,2614037,9,14,24,26,31,37,13,2018-08-21
858,2211191,7,9,22,26,27,37,35,2018-08-18
857,2826094,11,14,18,23,24,30,27,2018-08-14
856,2144328,6,21,23,26,29,31,3,2018-08-11
855,811921,2,10,18,19,30,37,31,2018-08-07
854,2434213,8,12,15,22,25,37,17,2018-08-04
